Map,Name,Address,Label,City,State,Category,Dog,Bike,Website,Phone
22,The Blue Bow Boutique,108 E. Main St. ,108 E. Main St. ,Troy,Ohio,Shops,,,https://www.facebook.com/thebluebowboutique/,(937) 670-2027
23,Trojan City Music,106 E. Main St.,106 E. Main St.,Troy,Ohio,Services,,,https://trojancitymusic.com/,(937) 335-2406
24,Stafford Uniquely Sports,104 E. Main St. ,104 E. Main St. ,Troy,Ohio,Shops,,,https://www.facebook.com/pages/category/Sporting-Goods-Store/Stafford-Uniquely-Sports-151953281513118/,(937) 335-8331
25,The Cabinet Shop of Troy,100 E. Main St. ,100 E. Main St. ,Troy,Ohio,Services,,,http://www.thecabinetshopoftroy.com/,(937) 339-4264
26,Polished Nail Salon,6 E. Main St.,6 E. Main St.,Troy,Ohio,Health & Beauty,,,https://www.facebook.com/Polishedtroyoh/,(937) 552-6492
27,Haren's Market,2 E. Main St.,2 E. Main St.,Troy,Ohio,Restaurants and Bars,,,https://www.instagram.com/harensmarket/,(937) 335-1399
28,Oh! Boba,217 Public Square,217 Public Square,Troy,Ohio,Restaurants and Bars,,,https://www.ohbobatea.com/,937-552-3881
29,David Fair on the Square,301 Public Square,301 Public Square,Troy,Ohio,Shops,Y,Y,https://www.davidfairinteriors.net/,(937) 440-8232
30,The Caroline,5 S. Market St.,5 S. Market St.,Troy,Ohio,Restaurants and Bars,,,http://thecarolineonthesquare.com/,(937) 552-7676 ?
31,Low Voltage Solutions,7 S. Market St.,7 S. Market St.,Troy,Ohio,Services,,,https://www.installedbylvs.com/,(937) 498-1317
32,Village Salon,11 South Market St. ,11 South Market St. ,Troy,Ohio,Health & Beauty,,,https://villagesalontroy.com/,(937) 980-9311
33,The 3 Weird Sisters Studio,15 S. Market St. ,15 S. Market St. ,Troy,Ohio,Shops,Y,Y,https://www.facebook.com/3WeirdSistersStudio/,(937) 477-6038
35,Special Effects Salon & Day Spa,121 E. Franklin St.,121 E. Franklin St. #3505,Troy,Ohio,Health & Beauty,,,http://www.specialeffectssalondayspa.com/,(937) 339-1764
37,Award One,10 E. Franklin St.,10 E. Franklin St.,Troy,Ohio,Shops,,,https://www.facebook.com/pages/category/Screen-Printing---Embroidery/Award-One-163473527013298/,(937) 339-4444
38,Echo Boutique,101 S. Market St. ,101 S. Market St. ,Troy,Ohio,Shops,,,https://www.shoppingecho.com/,(937) 219-5651
38,Poppy Lane Boutique,103 S. Market St. ,103 S. Market St. ,Troy,Ohio,Shops,,,https://poppylaneplus.com/,(937) 219-5651
39,Reading For Change,105 S. Market St.,105 S. Market St.,Troy,Ohio,Services,,,https://www.readingforchange.com/,(937) 239-8350
40,Be You Boutique,117 S. Market St.,117 S. Market St.,Troy,Ohio,Shops,,,https://be-you-boutique.com/,(937) 216-4527
42,Samozrejme,123 S. Market St. ,123 S. Market St. ,Troy,Ohio,Shops,,Y,https://www.samozrejme.com/,(937) 552-9143
43,Poppin' Off Gourmet Popcorn,125 S. Market St.,125 S. Market St.,Troy,Ohio,Restaurants and Bars,,Y,https://poppinoffdayton.com/,(419) 217-0067
44,Garden of York,125 S. Market St.,125 S. Market St.,Troy,Ohio,Services,,,,937-684-3838
45,Color Loft Salon,131 S. Market St.,131 S. Market St.,Troy,Ohio,Health & Beauty,,,https://www.colorloftsalon.com/,(937) 552-5566
47,Studio 109,109 E. Canal St. ,109 E. Canal St. ,Troy,Ohio,Health & Beauty,,,https://www.facebook.com/people/Studio-109/100063651845130/,(937) 332-0277
48,Center Stage Academy,18 E. Canal St.,18 E. Canal St.,Troy,Ohio,Services,,,http://centerstagetroy.com/site/,(937) 339-9444
50,Cyrious Auto Repair,201 S. Market St.,201 S. Market St.,Troy,Ohio,Services,,,https://troyautofix.com/,(937) 335-2285
51,One Stop Drive Thru,211 S. Market St.,211 S. Market St.,Troy,Ohio,Services,,,No Web Site,
52,Meraki A Salon and Spa,221 S. Market St.,221 S. Market St.,Troy,Ohio,Health & Beauty,,,https://www.merakiasalonandspa.com/,(937) 703-1122
55,Arkhouse Company,233 S. Market St. ,233 S. Market St. ,Troy,Ohio,Shops,,,https://www.facebook.com/ArkhouseCompany/,(937) 703-9017
56,Wagmore Pet Salon,235 S. Market St.,235 S. Market St.,Troy,Ohio,Services,,,https://facebook.com/wagmoresalon/?ref=ts,(937) 335-9247
57,Old Scratch Pizza (Coming Soon),19 East Race St.,19 East Race St.,Troy,Ohio,Restaurants and Bars,,,,
58,Genuine Auto Parts,225 S. Walnut St. ,225 S. Walnut St. ,Troy,Ohio,Services,,,https://hahnauto.com/,(937) 339-2681
60,ARF Design & Print,305 S. Market St.,305 S. Market St. Suite 12,Troy,Ohio,Services,,,https://www.facebook.com/pages/category/Printing-Service/Arf-Design-162923443754143/,(937) 335-3261
61,Troy's Quick Mart,10 W. Race St.,10 W. Race St.,Troy,Ohio,Shops,,,No Web Site,
62,Resignation Records,224 S. Market St.,224 S. Market St. Suite B,Troy,Ohio,Shops,,,https://www.resignationrecords.com/,
62,Salon Lux,224 S. Market St.,224 S. Market St. Suite D,Troy,Ohio,Health & Beauty,,,,
63,Upper Valley Hearing & Balance,210 S Market St.,210 S Market St. Suite A,Troy,Ohio,Health & Beauty,,,https://uppervalleyhearing.com/,(937) 308-7000
64,eclat Facial Studio,116 S. Market St.,116 S. Market St.,Troy,Ohio,Health & Beauty,,,eclatfacialstudio.com,937-552-7337
65,Winner's Computer LLC,114 S. Market St.,114 S. Market St.,Troy,Ohio,Services,,Y,https://winnerscomputer.com/,(937) 339-0888
67,Brower Stationers,16 S. Market St.,16 S. Market St.,Troy,Ohio,Shops,Y,,https://www.browersonline.com/,(937) 335-2117
68,Modern on Market Bridal Boutique,12 S. Market St.,12 S. Market St.,Troy,Ohio,Shops,,,https://www.modernonmarket.com/,(937) 552-7288
69,Crafted & Cured,8 S. Market St.,8 S. Market St.,Troy,Ohio,Restaurants and Bars,,,https://www.cnctroy.com/,
70,Expressions of the Home,6 S. Market St.,6 S. Market St.,Troy,Ohio,Shops,Y,Y,https://www.facebook.com/expressionsofthehome/,(937) 332-9227
71,Insightful Eyeware,4 S. Market St.,4 S. Market St.,Troy,Ohio,Health & Beauty,,,https://www.insightfuleyewear.com/,(937) 339-2020
72,Power 107.1,315 Public Square,315 Public Square,Troy,Ohio,Services,,,http://power1071.org/,(937) 339-1071
73,Bakehouse Bread & Cookie Company,317 Public Square,317 Public Square,Troy,Ohio,Restaurants and Bars,,,https://bakehousebread.com/,(937) 339-8100
74,Troy Sports Center,401 SW Public Square,401 SW Corner Public Sq.,Troy,Ohio,Shops,Y,Y,https://www.troysports.com/,(937) 339-1618
75,Miami County Visitors Bureau and Convention Bureau,402 SW Public Square,402 SW Public Sq. Suite 272,Troy,Ohio,Services,,,https://www.homegrowngreat.com/,(800) 348-8993
75,Troy Area Chamber of Commerce,405 SW Public Square,405 SW Public Sq. Suite 330,Troy,Ohio,Services,,,https://www.troyohiochamber.com/,(937) 339-8769
75,Troy Main Street,405 SW Public Square,405 SW Public Sq. Suite 231,Troy,Ohio,Services,,,https://troymainstreet.org/,(937) 339-5455
76,For All Seasons Gift Boutique,2 W. Main St.,2 W. Main St.,Troy,Ohio,Shops,,Y,https://www.facebook.com/For-All-Seasons-262056243819422/,(937) 875-2599
77,Pop-up @ 4 W. Main,4 W. Main St.,4 W. Main St.,Troy,Ohio,Services,,,https://www.popuptroy.com/,N/A
78,Around About Books,8 W. Main St.,8 W. Main St.,Troy,Ohio,Shops,,,https://www.aroundaboutbooks.com/,(937) 339-1707
79,Winans Chocolates + Coffees,10 W. Main St.,10 W. Main St.,Troy,Ohio,Restaurants and Bars,,,https://www.winanscandies.com/,(937) 335-9119
80,Troy Family Bike Shop,12 W. Main St.,12 W. Main St.,Troy,Ohio,Shops,,,https://www.troyfamilybike.com/,(937) 339-1634
81,Fitness Institute of Troy (FIT),101 W. Franklin St.,101 W. Franklin St.,Troy,Ohio,Health & Beauty,,,http://fitnessinstituteoftroy.com/,(937) 552-9682
82,Troy Local History Library,100 W. Main St.,100 W. Main St.,Troy,Ohio,Attractions,,,https://www.troypubliclibrary.org/,(937) 335-4082
83,Hittle's Jewelry,106 W. Main St.,106 W. Main St.,Troy,Ohio,Shops,,,https://www.hittlesjewelry.com/,(937) 339-3210
84,Leaf & Vine,108 W. Main St.,108 W. Main St.,Troy,Ohio,Restaurants and Bars,,Y,http://troyleafandvine.com/,(937) 332-0773
91,Moeller Brew Barn,214 W. Main St.,214 W. Main St.,Troy,Ohio,Restaurants and Bars,,,https://www.moellerbrewbarn.com/troy,(937) 552-9430
93,Respire Salt Spa (Coming Soon),,,Troy,Ohio,Health & Beauty,,,,
95,Posh Hair Salon,400 W. Main St,400 W. Main St,Troy,Ohio,Health & Beauty,,,https://www.facebook.com/theposhsalon,(937) 335-4526
95,Renew U,408 W. Main St,408 W. Main St,Troy,Ohio,Health & Beauty,,,https://www.facebook.com/Renew-U-Troy-111681084308918/,(937) 418-8807
96,Donatos Pizza,414 W. Main St. ,414 W. Main St. ,Troy,Ohio,Restaurants and Bars,,,https://www.donatos.com/locations/troy, (937) 335-4800
97,Allita's Floral and Design,502 W. Main St.,502 W. Main St.,Troy,Ohio,Services,,,No Web Site,
98,Troy Barber Shop,502 W. Main St.,502 W. Main St.,Troy,Ohio,Health & Beauty,,,https://facebook.com/Troy-Barber-Shop-117936469617305/,(937) 869-5291
99,Dunaway's Beef & Ale,508 W. Main St.,508 W. Main St.,Troy,Ohio,Restaurants and Bars,,,https://dunaways.wixsite.com/dunaways,(937) 335-8608
100,Troy-Miami County Public Library,201 W. Main St. ,201 W. Main St. ,Troy,Ohio,Attractions,,,https://www.troypubliclibrary.org/,(937) 339-0502
101,Troy-Hayner Cultural Center,301 W. Main St.,301 W. Main St.,Troy,Ohio,Attractions,,,https://www.troyhayner.org/,(937) 339-0457
102,Ivy Court,103 W. Main St.,103 W. Main St.,Troy,Ohio,Shops,,,https://www.shopivycourt.com/,(937) 204-0725
102,Magnolia Mae,105 W. Main St. ,105 W. Main St. ,Troy,Ohio,Shops,,,https://magnoliaoh.com/,(937) 271-8144
102,The June ,107 W. Main St.,107 W. Main St. Fourth Floor,Troy,Ohio,Services,,,https://www.thejuneohio.com/,
103,Miso (Coming Soon),101 W. Main St.,101 W. Main St.,Troy,Ohio,Restaurants and Bars,,,,
105,Bakers Locksmith,101 Public Square Northwest,101 Public Square Northwest,Troy,Ohio,Services,,,https://www.bakerslocksmith.com/,
106,Agave & Rye,2 N. Market St.,2 N. Market St.,Troy,Ohio,Restaurants and Bars,,,https://agaveandrye.com/,(937) 741-8226
107,Four Acre Clothing Co.,8 N. Market St.,8 N. Market St.,Troy,Ohio,Shops,,,https://www.facebook.com/FourAcreClothingCo,(937) 407-6524
107,Thrive Classical Pilates,2 N. Market St.,2 N. Market St.,Troy,Ohio,Health & Beauty,,,https://www.physicaltherapy212.com/,(937) 703-9315
108,Thrush & Son Complete Home Improvement,10 N. Market St.,10 N. Market St.,Troy,Ohio,Services,,Y,https://www.thrushandson.com/,(937) 339-5136
109,Submarine House,14 N. Market St.,14 N. Market St.,Troy,Ohio,Restaurants and Bars,,,https://submarinehouse.com/,(937) 335-6479
110,Hippieworks,16 N. Market St. ,16 N. Market St. ,Troy,Ohio,Shops,,,https://www.hippieworks.shop/,(937) 524-4244
111,Basil's on Market,18 N. Market St.,18 N. Market St.,Troy,Ohio,Restaurants and Bars,,Y,https://basilsonmarket.com/,(937) 524-5916
112,North Market Barber Shop,22 N. Market St.,22 N. Market St.,Troy,Ohio,Health & Beauty,,,No Website,
113,Remax Victory & Affiliates,24 N. Market St.,24 N. Market St.,Troy,Ohio,Services,,,,
117,Zeal Coaching for Life & Career,3 E. Water St.,3 E. Water St.,Troy,Ohio,Services,,,https://zealcoach.com/,(419) 733-0252
118,Trojan Florist & Gifts,7 E. Water St.,7 E. Water St.,Troy,Ohio,Services,,,https://www.trojanflorist.com/,(937) 339-2206
119,Tapestry Healing Arts Center,16 E. Water St. ,16 E. Water St. ,Troy,Ohio,Health & Beauty,,,https://www.tapestryhealingartscenter.com/,(937) 216-3842
120,Troy Rec,11 N. Market St.,11 N. Market St.,Troy,Ohio,Attractions,,,http://www.troyrec.com/,(937) 339-1923
122,Tokyo Peking,3 N. Market St.,3 N. Market St.,Troy,Ohio,Restaurants and Bars,,,http://www.tokyopekingchinese.com/,937-339-7762
123,Ruby's Beauty Salon,1 N. Market St.,1 N. Market St.,Troy,Ohio,Health & Beauty,,,https://www.facebook.com/Rubys-Beauty-Salon-114188523621165/,N/A
126,CK Barbershop & Grooming Co,1 E. Main St.,1 E. Main St. Suite 103,Troy,Ohio,Health & Beauty,,,https://www.facebook.com/CKBarbershopAndGrooming,
127,ReU Juicery & Organic Kitchen,5 E. Main St.,5 E. Main St.,Troy,Ohio,Restaurants and Bars,,,https://www.reujuicery.com/,(937) 524-5015
